,FLIGHT*,FROM,ETA*,GATE*,IAB PAX*,IAB BAGS,FIS PAX*,FIS BAGS*,deplane time,fisratio
0,261,MAD,1900-01-01 13:34:00,C1,80,77,144,150,13.176470588235293,0.6428571428571429
1,123,LHR,1900-01-01 13:45:00,C8,81,87,81,89,9.529411764705882,0.5
2,991,BCN,1900-01-01 14:05:00,C5,106,115,169,181,16.176470588235293,0.6145454545454545
3,951,BRU,1900-01-01 14:29:00,C4,125,172,220,294,20.294117647058822,0.6376811594202898
4,885,FCO,1900-01-01 14:24:00,C12,135,136,140,121,16.176470588235293,0.509090909090909
5,947,AMS,1900-01-01 14:35:00,C6,120,110,104,84,13.176470588235293,0.4642857142857143
6,1567,MEX,1900-01-01 14:30:00,C9,117,129,30,26,8.647058823529411,0.20408163265306123
7,975,GVA,1900-01-01 14:41:00,C3,67,66,94,83,9.470588235294118,0.5838509316770186
8,914,CDG,1900-01-01 14:54:00,C2,129,150,146,130,16.176470588235293,0.5309090909090909
9,943,LIS,1900-01-01 15:12:00,C8,63,52,163,140,13.294117647058824,0.7212389380530974
10,919,LHR,1900-01-01 15:27:00,C1,149,169,126,129,16.176470588235293,0.4581818181818182
11,983,ATH,1900-01-01 15:27:00,C12,118,127,122,135,14.117647058823529,0.5083333333333333
12,1694,CUN,1900-01-01 15:26:00,C11,101,75,75,64,10.352941176470589,0.42613636363636365
13,979,EDI,1900-01-01 15:37:00,C7,70,86,98,99,9.882352941176471,0.5833333333333334
14,53,ZRH,1900-01-01 15:44:00,C5,96,105,65,68,9.470588235294118,0.40372670807453415
15,235,BER,1900-01-01 15:26:00,C6,79,86,143,118,13.058823529411764,0.6441441441441441
16,1614,PUJ,1900-01-01 15:37:00,C9,154,116,23,12,10.411764705882353,0.12994350282485875
17,109,MUC,1900-01-01 15:51:00,C3,136,144,132,125,15.764705882352942,0.4925373134328358
18,988,FRA,1900-01-01 15:53:00,C2,159,209,191,209,20.58823529411765,0.5457142857142857
19,804,HND,1900-01-01 17:01:00,C1,175,258,100,131,16.176470588235293,0.36363636363636365
24,331,CDG,1900-01-01 19:27:00,C5,275,293,0,0,16.176470588235293,0.0
25,933,FRA,1900-01-01 20:00:00,C3,236,299,0,0,13.882352941176471,0.0
26,925,LHR,1900-01-01 20:03:00,C7,143,91,0,0,8.411764705882353,0.0
27,1133,CUN,1900-01-01 20:30:00,C1,174,132,0,0,10.235294117647058,0.0
